,location,genotype,SW
0,AB,CDBN_003,48.0
1,AB,CDBN_005,49.0
2,AB,CDBN_294,50.0
3,AB,CDBN_050,50.0
4,AB,CDBN_297,51.0
5,AB,CDBN_246,57.0
6,AB,CDBN_171,43.0
7,AB,CDBN_182,48.0
8,AB,CDBN_286,46.0
9,AB,CDBN_287,46.0
10,AB,CDBN_288,47.0
11,AB,CDBN_146,53.0
12,AB,CDBN_097,49.0
13,AB,CDBN_322,55.0
14,AB,CDBN_289,56.0
15,AB,CDBN_045,47.0
16,AB,CDBN_047,51.0
17,AB,CDBN_072,47.0
18,AB,CDBN_074,48.0
19,AB,CDBN_238,57.0
20,AB,CDBN_285,47.0
21,AB,CDBN_324,45.0
22,AB,CDBN_306,48.0
23,AB,CDBN_080,51.0
24,AB,CDBN_090,42.0
25,AB,CDBN_134,54.0
26,AB,CDBN_081,47.0
27,AB,CDBN_309,52.0
28,AB,CDBN_311,47.0
29,AB,CDBN_313,50.0
30,AB,CDBN_314,54.0
31,AB,CDBN_315,55.0
32,AB,CDBN_274,44.0
33,AB,CDBN_155,53.0
34,AB,CDBN_296,51.0
35,AB,CDBN_275,44.0
36,AB,CDBN_170,42.0
37,AB,CDBN_300,55.0
38,AB,CDBN_265,43.0
39,AB,CDBN_030,54.0
40,AB,CDBN_031,45.0
41,AB,CDBN_032,53.0
42,AB,CDBN_033,53.0
43,AB,CDBN_034,44.0
44,AB,CDBN_192,54.0
45,AB,CDBN_038,48.0
46,AB,CDBN_040,47.0
47,AB,CDBN_041,42.0
48,AB,CDBN_043,50.0
49,AB,CDBN_093,46.0
50,AB,CDBN_076,47.0
51,AB,CDBN_077,60.0
52,AB,CDBN_196,47.0
53,AB,CDBN_179,51.0
54,AB,CDBN_095,43.0
55,AB,CDBN_207,54.0
56,AB,CDBN_312,50.0
57,AB,CDBN_316,45.0
58,AB,CDBN_273,55.0
59,AB,CDBN_010,50.0
60,AB,CDBN_013,54.0
61,AB,CDBN_014,53.0
62,AB,CDBN_051,53.0
63,AB,CDBN_293,53.0
64,AB,CDBN_277,57.0
65,AB,CDBN_242,55.0
66,AB,CDBN_116,55.0
67,AB,CDBN_239,61.0
68,AB,CDBN_159,52.0
69,AB,CDBN_299,52.0
70,AB,CDBN_247,48.0
71,AB,CDBN_249,51.0
72,AB,CDBN_278,47.0
73,AB,CDBN_089,52.0
74,AB,CDBN_024,53.0
75,AB,CDBN_268,57.0
76,AB,CDBN_036,56.0
77,AB,CDBN_037,54.0
78,AB,CDBN_048,58.0
79,AB,CDBN_271,62.0
80,AB,CDBN_193,55.0
81,AB,CDBN_128,53.0
82,AB,CDBN_303,54.0
83,AB,CDBN_304,60.0
84,AB,CDBN_199,55.0
85,AB,CDBN_232,55.0
86,AB,CDBN_203,56.0
87,AB,CDBN_098,51.0
88,AB,CDBN_165,50.0
89,AB,CDBN_307,56.0
90,AB,CDBN_138,58.0
91,AB,CDBN_318,53.0
92,AB,CDBN_002,46.0
93,AB,CDBN_115,57.0
94,AB,CDBN_168,58.0
95,AB,CDBN_123,58.0
96,AB,CDBN_259,57.0
97,AB,CDBN_039,57.0
98,AB,CDBN_284,50.0
99,AB,CDBN_166,56.0
100,AB,CDBN_290,53.0
101,AB,CDBN_053,48.0
102,AB,CDBN_065,56.0
103,AB,CDBN_317,56.0
104,AB,CDBN_084,56.0
105,AB,CDBN_226,55.0
106,AB,CDBN_087,57.0
107,AB,CDBN_011,47.5
108,AB,CDBN_012,46.5
109,AB,CDBN_015,50.0
110,AB,CDBN_016,53.0
111,AB,CDBN_298,53.0
112,AB,CDBN_250,47.0
113,AB,CDBN_251,45.5
114,AB,CDBN_017,56.5
115,AB,CDBN_019,52.0
116,AB,CDBN_021,52.5
117,AB,CDBN_026,50.5
118,AB,CDBN_263,57.5
119,AB,CDBN_125,55.0
120,AB,CDBN_126,54.5
121,AB,CDBN_127,54.0
122,AB,CDBN_027,55.0
123,AB,CDBN_028,54.0
124,AB,CDBN_164,47.5
125,AB,CDBN_035,55.5
126,AB,CDBN_044,57.0
127,AB,CDBN_046,55.0
128,AB,CDBN_079,51.5
129,AB,CDBN_219,53.0
130,CA,CDBN_010,38.0
131,CA,CDBN_013,38.0
132,CA,CDBN_014,38.0
133,CA,CDBN_051,37.0
134,CA,CDBN_293,38.0
135,CA,CDBN_277,39.0
136,CA,CDBN_242,38.0
137,CA,CDBN_116,40.0
138,CA,CDBN_239,40.0
139,CA,CDBN_159,38.0
140,CA,CDBN_299,38.0
141,CA,CDBN_247,36.0
142,CA,CDBN_249,37.0
143,CA,CDBN_278,36.0
144,CA,CDBN_089,37.0
145,CA,CDBN_024,38.0
146,CA,CDBN_268,38.0
147,CA,CDBN_036,38.0
148,CA,CDBN_037,38.0
149,CA,CDBN_048,40.0
150,CA,CDBN_271,40.0
151,CA,CDBN_193,39.0
152,CA,CDBN_128,37.0
153,CA,CDBN_303,40.0
154,CA,CDBN_304,38.0
155,CA,CDBN_199,38.0
156,CA,CDBN_232,37.0
157,CA,CDBN_203,38.0
158,CA,CDBN_098,38.0
159,CA,CDBN_165,38.0
160,CA,CDBN_307,38.0
161,CA,CDBN_138,38.0
