,location,genotype,DM
0,CO,CDBN_054,84.0
1,CO,CDBN_351,85.0
2,CO,CDBN_171,80.0
3,CO,CDBN_345,84.0
4,CO,CDBN_332,82.0
5,CO,CDBN_339,81.0
6,CO,CDBN_067,89.0
7,CO,CDBN_062,85.0
8,CO,CDBN_068,88.0
9,CO,CDBN_172,85.0
10,CO,CDBN_063,89.0
11,CO,CDBN_095,74.0
12,CO,CDBN_342,87.0
13,CO,CDBN_069,83.0
14,CO,CDBN_161,84.0
15,CO,CDBN_059,83.0
16,CO,CDBN_071,80.0
17,CO,CDBN_310,89.0
18,CO,CDBN_060,80.0
19,CO,CDBN_061,87.0
20,CO,CDBN_349,87.0
21,CO,CDBN_052,89.0
22,CO,CDBN_064,93.0
23,CO,CDBN_236,89.0
24,CO,CDBN_218,81.0
25,CO,CDBN_262,90.0
26,CO,CDBN_083,89.0
27,CO,CDBN_143,91.0
28,CO,CDBN_253,93.0
29,CO,CDBN_237,93.0
30,CO,CDBN_058,95.0
31,CO,CDBN_217,101.0
32,CO,CDBN_167,104.0
33,CO,CDBN_261,94.0
34,CO,CDBN_243,100.0
35,CO,CDBN_295,95.0
36,CO,CDBN_066,95.0
37,CO,CDBN_269,97.0
38,CO,CDBN_055,100.0
39,CO,CDBN_195,100.0
40,CO,CDBN_305,90.0
41,CO,CDBN_174,100.0
42,CO,CDBN_214,95.0
43,CO,CDBN_141,95.0
44,CO,CDBN_142,95.0
45,CO,CDBN_184,95.0
46,CO,CDBN_254,95.0
47,CO,CDBN_255,105.0
48,CO,CDBN_270,95.0
49,CO,CDBN_197,105.0
50,CO,CDBN_210,103.0
51,CO,CDBN_215,105.0
52,CO,CDBN_228,103.0
53,CO,CDBN_091,92.5
54,CO,CDBN_244,90.0
55,CO,CDBN_163,90.0
56,CO,CDBN_096,90.0
57,CO,CDBN_035,92.5
58,CO,CDBN_272,92.5
59,CO,CDBN_211,92.5
60,CO,CDBN_178,92.5
61,CO,CDBN_216,90.0
62,CO,CDBN_139,82.0
63,CO,CDBN_353,90.0
64,CO,CDBN_320,105.0
65,CO,CDBN_252,89.0
66,CO,CDBN_056,100.0
67,CO,CDBN_304,87.0
68,CO,CDBN_198,93.0
69,CO,CDBN_204,98.0
70,CO,CDBN_212,90.0
71,CO,CDBN_213,88.0
72,CO,CDBN_225,87.0
73,CO,CDBN_092,100.3
74,CO,CDBN_181,92.8
75,CO,CDBN_183,98.3
76,CO,CDBN_019,99.3
77,CO,CDBN_020,92.5
78,CO,CDBN_302,98.3
79,CO,CDBN_078,99.0
80,CO,CDBN_165,95.3
81,CO,CDBN_158,97.3
82,CO,CDBN_094,102.5
83,CO,CDBN_082,101.5
84,CO,CDBN_223,100.0
85,CO,CDBN_010,102.0
86,CO,CDBN_011,100.0
87,CO,CDBN_012,98.0
88,CO,CDBN_015,100.0
89,CO,CDBN_016,96.0
90,CO,CDBN_277,103.0
91,CO,CDBN_116,98.0
92,CO,CDBN_298,99.0
93,CO,CDBN_299,101.0
94,CO,CDBN_249,98.0
95,CO,CDBN_250,97.0
96,CO,CDBN_251,98.0
97,CO,CDBN_017,99.0
98,CO,CDBN_021,104.0
99,CO,CDBN_089,97.0
100,CO,CDBN_026,100.0
101,CO,CDBN_263,98.0
102,CO,CDBN_125,99.0
103,CO,CDBN_126,107.0
104,CO,CDBN_127,102.0
105,CO,CDBN_027,101.0
106,CO,CDBN_028,97.0
107,CO,CDBN_164,99.0
108,CO,CDBN_044,99.0
109,CO,CDBN_046,101.0
110,CO,CDBN_285,100.0
111,CO,CDBN_079,104.0
112,CO,CDBN_219,99.0
113,CO,CDBN_311,101.0
114,CO,CDBN_053,98.0
115,CO,CDBN_065,101.0
116,CO,CDBN_314,97.0
117,CO,CDBN_317,98.0
118,CO,CDBN_013,93.0
119,CO,CDBN_014,91.0
120,CO,CDBN_051,100.0
121,CO,CDBN_293,94.0
122,CO,CDBN_242,96.0
123,CO,CDBN_239,95.0
124,CO,CDBN_159,100.0
125,CO,CDBN_247,93.0
126,CO,CDBN_278,100.0
127,CO,CDBN_024,92.0
128,CO,CDBN_268,95.0
129,CO,CDBN_036,95.0
130,CO,CDBN_037,96.0
131,CO,CDBN_048,94.0
132,CO,CDBN_271,98.0
133,CO,CDBN_193,97.0
134,CO,CDBN_128,90.0
