,location,genotype,SW
0,CA,CDBN_054,329.0
1,CA,CDBN_351,186.0
2,CA,CDBN_171,544.0
3,CA,CDBN_345,363.0
4,CA,CDBN_332,385.0
5,CA,CDBN_339,545.0
6,CA,CDBN_067,342.0
7,CA,CDBN_062,207.0
8,CA,CDBN_068,286.0
9,CA,CDBN_172,627.0
10,CA,CDBN_063,542.0
11,CA,CDBN_095,310.0
12,CA,CDBN_342,350.0
13,CA,CDBN_069,361.0
14,CA,CDBN_161,494.0
15,CA,CDBN_059,323.0
16,CA,CDBN_071,566.0
17,CA,CDBN_310,205.0
18,CA,CDBN_060,495.0
19,CA,CDBN_061,523.0
20,CA,CDBN_349,207.0
21,CA,CDBN_052,464.0
22,CA,CDBN_064,185.0
23,CA,CDBN_236,329.0
24,CA,CDBN_218,352.0
25,CA,CDBN_262,348.0
26,CA,CDBN_083,349.0
27,CA,CDBN_143,347.0
28,CA,CDBN_091,533.0
29,CA,CDBN_320,199.0
30,CA,CDBN_244,194.0
31,CA,CDBN_163,615.0
32,CA,CDBN_252,206.0
33,CA,CDBN_035,362.0
34,CA,CDBN_056,210.0
35,CA,CDBN_304,347.0
36,CA,CDBN_305,363.0
37,CA,CDBN_198,362.0
38,CA,CDBN_204,204.0
39,CA,CDBN_212,175.0
40,CA,CDBN_178,225.0
41,CA,CDBN_213,377.0
42,CA,CDBN_225,472.0
43,CA,CDBN_092,456.0
44,CA,CDBN_181,196.0
45,CA,CDBN_183,230.0
46,CA,CDBN_019,389.0
47,CA,CDBN_020,480.0
48,CA,CDBN_302,283.0
49,CA,CDBN_096,445.0
50,CA,CDBN_078,381.0
51,CA,CDBN_165,324.0
52,CA,CDBN_216,387.0
53,CA,CDBN_158,403.0
54,CA,CDBN_094,396.0
55,CA,CDBN_082,401.0
56,CA,CDBN_223,392.0
57,CA,CDBN_245,400.0
58,CA,CDBN_255,180.0
59,CA,CDBN_324,350.0
60,CA,CDBN_224,350.0
61,CA,CDBN_275,350.0
62,CA,CDBN_170,470.0
63,CA,CDBN_121,270.0
64,CA,CDBN_026,180.0
65,CA,CDBN_196,320.0
66,CA,CDBN_208,320.0
67,CA,CDBN_234,190.0
68,CA,CDBN_235,320.0
69,CA,CDBN_316,180.0
70,CA,CDBN_084,360.0
71,CA,CDBN_011,409.0
72,CA,CDBN_016,304.0
73,CA,CDBN_168,515.0
74,CA,CDBN_089,335.0
75,CA,CDBN_123,519.0
76,CA,CDBN_263,334.0
77,CA,CDBN_126,424.0
78,CA,CDBN_127,491.0
79,CA,CDBN_028,169.0
80,CA,CDBN_129,172.0
81,CA,CDBN_079,539.0
82,CA,CDBN_010,406.0
83,CA,CDBN_012,375.0
84,CA,CDBN_015,384.0
85,CA,CDBN_277,190.0
86,CA,CDBN_116,168.0
87,CA,CDBN_298,334.0
88,CA,CDBN_299,392.0
89,CA,CDBN_249,418.0
90,CA,CDBN_250,370.0
91,CA,CDBN_251,258.0
92,CA,CDBN_017,372.0
93,CA,CDBN_021,340.0
94,CA,CDBN_125,464.0
95,CA,CDBN_027,410.0
96,CA,CDBN_164,474.0
97,CA,CDBN_044,188.0
98,CA,CDBN_046,335.0
99,CA,CDBN_285,404.0
100,CA,CDBN_219,310.0
101,CA,CDBN_311,354.0
102,CA,CDBN_053,383.0
103,CA,CDBN_065,345.0
104,CA,CDBN_317,300.0
105,CA,CDBN_013,330.0
106,CA,CDBN_014,360.0
107,CA,CDBN_051,370.0
108,CA,CDBN_293,200.0
109,CA,CDBN_242,390.0
110,CA,CDBN_239,160.0
111,CA,CDBN_159,350.0
112,CA,CDBN_247,310.0
113,CA,CDBN_278,400.0
114,CA,CDBN_024,340.0
115,CA,CDBN_268,230.0
116,CA,CDBN_036,180.0
117,CA,CDBN_037,180.0
118,CA,CDBN_048,340.0
119,CA,CDBN_271,170.0
120,CA,CDBN_193,420.0
121,CA,CDBN_128,330.0
122,CA,CDBN_303,160.0
123,CA,CDBN_199,320.0
124,CA,CDBN_232,150.0
125,CA,CDBN_203,170.0
126,CA,CDBN_098,190.0
127,CA,CDBN_307,210.0
128,CA,CDBN_138,200.0
129,CA,CDBN_318,320.0
130,CA,CDBN_279,513.695254173997
131,CA,CDBN_291,496.815892043417
132,CA,CDBN_003,323.302145000456
133,CA,CDBN_005,348.381650872227
134,CA,CDBN_294,367.579343140713
135,CA,CDBN_050,144.964176873007
136,CA,CDBN_297,316.092619815777
137,CA,CDBN_182,312.607105055575
138,CA,CDBN_286,431.993247081562
139,CA,CDBN_287,205.338573759909
140,CA,CDBN_288,197.816358236214
141,CA,CDBN_146,186.127578758982
142,CA,CDBN_097,177.115544488731
143,CA,CDBN_322,181.147328049377
144,CA,CDBN_289,170.139876007367
145,CA,CDBN_045,161.420964211971
146,CA,CDBN_047,189.075827192847
147,CA,CDBN_072,172.141521607453
148,CA,CDBN_074,184.387361559203
149,CA,CDBN_238,186.894482668166
150,CA,CDBN_306,339.261712367719
151,CA,CDBN_080,156.898273758436
152,CA,CDBN_090,475.464265655807
153,CA,CDBN_134,185.139963034955
154,CA,CDBN_081,220.833938381519
155,CA,CDBN_309,360.853547681495
156,CA,CDBN_313,344.937573715315
157,CA,CDBN_314,318.310813639045
158,CA,CDBN_315,163.633805712713
159,CA,CDBN_274,258.163295068662
160,CA,CDBN_100,181.727928459792
161,CA,CDBN_136,186.510242366628
162,CA,CDBN_120,335.497714079615
163,CA,CDBN_276,257.284690547725
164,CA,CDBN_280,454.957782783992
165,CA,CDBN_281,451.336228294169
166,CA,CDBN_284,495.188765759432
167,CA,CDBN_157,374.251575441947
168,CA,CDBN_180,168.496623118737
169,CA,CDBN_133,358.00545338251
170,CA,CDBN_308,299.401260353558
171,CA,CDBN_049,300.990649924114
172,CA,CDBN_319,322.154054996903
173,CA,CDBN_323,323.994935311171
174,CA,CDBN_112,526.821033026295
175,CA,CDBN_153,529.898258686495
176,CA,CDBN_220,359.994372567968
177,CA,CDBN_099,264.949129343248
178,CA,CDBN_101,284.028121124383
179,CA,CDBN_102,137.996017473575
180,CA,CDBN_110,276.918748129206
181,CA,CDBN_111,178.019195225918
182,CA,CDBN_282,402.121373613156
183,CA,CDBN_283,402.835621168419
184,CA,CDBN_057,436.1470283035
185,CA,CDBN_221,336.993246237474
186,CA,CDBN_229,368.774723118406
187,CA,CDBN_145,238.733110229284
188,CA,CDBN_103,236.246306997729
189,CA,CDBN_104,221.264833871044
190,CA,CDBN_106,194.675068427313
191,CA,CDBN_107,221.264833871044
192,CA,CDBN_177,436.1470283035
193,CA,CDBN_108,331.089714916525
194,CA,CDBN_109,230.25020783535
195,CA,CDBN_156,539.991558851952
196,CA,CDBN_194,226.79645471782
197,CA,CDBN_130,173.127064670092
198,CA,CDBN_113,245.185356451697
199,CA,CDBN_132,204.321130376414
200,CA,CDBN_162,487.734311221118
201,CA,CDBN_292,493.035771125695
202,CA,CDBN_105,347.5807735139
203,CA,CDBN_169,150.895844788969
204,CA,CDBN_231,332.790102300543
205,CA,CDBN_137,303.813067271025
206,CA,CDBN_150,367.579343140713
207,CA,CDBN_258,323.763290506601
208,CA,CDBN_264,258.752065031231
209,CA,CDBN_266,242.822467879951
210,CA,CDBN_152,452.686996007733
211,CA,CDBN_230,237.73185010469
212,CA,CDBN_209,154.86253670186
