,location,genotype,SY
0,CA,CDBN_054,1774.08
1,CA,CDBN_351,1908.48
2,CA,CDBN_171,871.36
3,CA,CDBN_345,1779.68
4,CA,CDBN_332,2347.52
5,CA,CDBN_339,1983.52
6,CA,CDBN_067,1432.48
7,CA,CDBN_062,1463.84
8,CA,CDBN_068,2610.72
9,CA,CDBN_172,921.76
10,CA,CDBN_063,1680.0
11,CA,CDBN_095,1696.8
12,CA,CDBN_342,2850.4
13,CA,CDBN_069,1646.4
14,CA,CDBN_161,1121.12
15,CA,CDBN_059,1678.88
16,CA,CDBN_071,1192.8
17,CA,CDBN_310,990.08
18,CA,CDBN_060,661.92
19,CA,CDBN_061,973.28
20,CA,CDBN_349,2038.4
21,CA,CDBN_185,2733.92
22,CA,CDBN_173,2326.24
23,CA,CDBN_160,3095.68
24,CA,CDBN_070,2290.4
25,CA,CDBN_236,3017.28
26,CA,CDBN_235,2728.32
27,CA,CDBN_218,3780.0
28,CA,CDBN_343,4139.52
29,CA,CDBN_052,2989.28
30,CA,CDBN_064,3101.28
31,CA,CDBN_262,3778.88
32,CA,CDBN_083,3681.44
33,CA,CDBN_143,3603.04
34,CA,CDBN_253,2842.56
35,CA,CDBN_237,3738.56
36,CA,CDBN_058,2640.96
37,CA,CDBN_217,3349.92
38,CA,CDBN_167,3340.96
39,CA,CDBN_261,3129.28
40,CA,CDBN_243,1836.8
41,CA,CDBN_295,1979.04
42,CA,CDBN_066,1491.84
43,CA,CDBN_269,2710.4
44,CA,CDBN_055,2448.32
45,CA,CDBN_195,2396.8
46,CA,CDBN_305,2462.88
47,CA,CDBN_174,2675.68
48,CA,CDBN_214,1789.76
49,CA,CDBN_141,2798.88
50,CA,CDBN_142,2518.88
51,CA,CDBN_255,2815.68
52,CA,CDBN_270,3445.12
53,CA,CDBN_197,2705.92
54,CA,CDBN_210,3297.28
55,CA,CDBN_085,3880.8
56,CA,CDBN_228,2964.64
57,CA,CDBN_184,3754.24
58,CA,CDBN_254,4044.32
59,CA,CDBN_215,4413.92
60,CA,CDBN_168,2338.56
61,CA,CDBN_163,1817.76
62,CA,CDBN_096,3909.92
63,CA,CDBN_056,3039.68
64,CA,CDBN_272,4109.28
65,CA,CDBN_198,3589.6
66,CA,CDBN_200,3076.64
67,CA,CDBN_189,2749.6
68,CA,CDBN_206,3535.84
69,CA,CDBN_211,3627.68
70,CA,CDBN_216,3992.8
71,CA,CDBN_091,1497.44
72,CA,CDBN_244,2583.84
73,CA,CDBN_035,1657.6
74,CA,CDBN_178,2353.12
75,CA,CDBN_139,2349.76
76,CA,CDBN_353,2430.4
77,CA,CDBN_320,4038.72
78,CA,CDBN_252,3526.88
79,CA,CDBN_304,3982.72
80,CA,CDBN_204,2005.92
81,CA,CDBN_212,3512.32
82,CA,CDBN_213,3491.04
83,CA,CDBN_225,4490.08
