Taxa,CDBN_ID,Seq_ID,Gene_pool,Race,Market_class,Det_scr,GHmode,Earliest_Year_CDBN
CDBN_001_1543,1543,CDBN_001,MA,Mesoamerican,Navy,2,2,1992
CDBN_002_2242,2242,CDBN_002,Andean,Nueva Granada,Dark Red Kidney,1,1,1997
CDBN_003_5229,5229,CDBN_003,MA,Durango,Red,2,3,1991
CDBN_004_5501,5501,CDBN_004,MA,Durango,Pink,2,2.5,1993
CDBN_005_54028,54028,CDBN_005,MA,Durango,Great Northern,2,3,1991
CDBN_006_55012,55012,CDBN_006,MA,Durango,Pink,2,3,1994
CDBN_007_88728,88728,CDBN_007,Andean,Nueva Granada,Light Red Kidney,2,2,1994
CDBN_008_87_1116,87_1116,CDBN_008,MA,Durango,Great Northern,2,3,1994
CDBN_009_88_409,88_409,CDBN_009,MA,Mesoamerican,Navy,2,2,1997
CDBN_010_93_207G,93_207G,CDBN_010,MA,Durango,Great Northern,2,3,2000
CDBN_011_93_208G,93_208G,CDBN_011,MA,Durango,Great Northern,2,3,2001
CDBN_012_93_219P,93_219P,CDBN_012,MA,Durango,Pinto,2,3,2001
CDBN_013_94_1009P,94_1009P,CDBN_013,MA,Durango,Pinto,2,3,2000
CDBN_014_97_409P,97_409P,CDBN_014,MA,Durango,Pinto,2,3,2000
CDBN_015_98_163G,98_163G,CDBN_015,MA,Durango,Great Northern,2,2,2001
CDBN_016_98_209G,98_209G,CDBN_016,MA,Durango,Great Northern,2,3,2001
CDBN_017_CO_64342,CO_64342,CDBN_017,MA,Durango,Pinto,2,3,2001
CDBN_019_CPC_00153,CPC_00153,CDBN_019,Andean,Nueva Granada,Yellow,1,1,2003
CDBN_020_CPC_00247,CPC_00247,CDBN_020,Andean,Nueva Granada,White Kidney,1,1,2004
CDBN_021_CPC_00250,CPC_00250,CDBN_021,Andean,Nueva Granada,Yellow,1,1,2001
CDBN_022_Cran34,Cran34,CDBN_022,Andean,Nueva Granada,Cranberry,1,1,1993
CDBN_023_CU_M90,CU_M90,CDBN_023,MA,Mesoamerican,Black,2,2,1993
CDBN_024_Elizabeth,Elizabeth,CDBN_024,MA,Durango,Pinto,2,3,1999
CDBN_025_Flamingo,Flamingo,CDBN_025,MA,Durango,Pink,2,3,1989
CDBN_026_Frigate,Frigate,CDBN_026,MA,Mesoamerican,Navy,2,2,2001
CDBN_027_H9659_41_3,H9659_41_3,CDBN_027,Andean,Nueva Granada,Dark Red Kidney,2,2,2001
CDBN_028_H9673_87,H9673_87,CDBN_028,MA,Mesoamerican,Black,2,2,2001
CDBN_030_IS_4905_B,IS_4905_B,CDBN_030,MA,Mesoamerican,Navy,2,3,1995
