"","env","Seq_ID","DM"
"X.COFC2015.","COFC2015","CDBN_054",84
"X.COFC2015..1","COFC2015","CDBN_351",85
"X.COFC2015..2","COFC2015","CDBN_171",80
"X.COFC2015..3","COFC2015","CDBN_345",84
"X.COFC2015..4","COFC2015","CDBN_332",82
"X.COFC2015..5","COFC2015","CDBN_339",81
"X.COFC2015..6","COFC2015","CDBN_067",89
"X.COFC2015..7","COFC2015","CDBN_062",85
"X.COFC2015..8","COFC2015","CDBN_068",88
"X.COFC2015..9","COFC2015","CDBN_172",85
"X.COFC2015..10","COFC2015","CDBN_063",89
"X.COFC2015..11","COFC2015","CDBN_095",74
"X.COFC2015..12","COFC2015","CDBN_342",87
"X.COFC2015..13","COFC2015","CDBN_069",83
"X.COFC2015..14","COFC2015","CDBN_161",84
"X.COFC2015..15","COFC2015","CDBN_059",83
"X.COFC2015..16","COFC2015","CDBN_071",80
"X.COFC2015..17","COFC2015","CDBN_310",89
"X.COFC2015..18","COFC2015","CDBN_060",80
"X.COFC2015..19","COFC2015","CDBN_061",87
"X.COFC2015..20","COFC2015","CDBN_349",87
"X.MIEN2015.","MIEN2015","CDBN_171",103
"X.MIEN2015..1","MIEN2015","CDBN_339",109
"X.MIEN2015..2","MIEN2015","CDBN_172",110
"X.MIEN2015..3","MIEN2015","CDBN_063",94
"X.MIEN2015..4","MIEN2015","CDBN_161",109
"X.MIEN2015..5","MIEN2015","CDBN_071",103
"X.MIEN2015..6","MIEN2015","CDBN_060",106
"X.MIEN2015..7","MIEN2015","CDBN_061",109
"X.MISA2015.","MISA2015","CDBN_054",91
"X.MISA2015..1","MISA2015","CDBN_351",98
"X.MISA2015..2","MISA2015","CDBN_345",96
"X.MISA2015..3","MISA2015","CDBN_332",97
"X.MISA2015..4","MISA2015","CDBN_067",103
"X.MISA2015..5","MISA2015","CDBN_062",108
"X.MISA2015..6","MISA2015","CDBN_068",105
"X.MISA2015..7","MISA2015","CDBN_095",88
"X.MISA2015..8","MISA2015","CDBN_342",93
"X.MISA2015..9","MISA2015","CDBN_069",92
"X.MISA2015..10","MISA2015","CDBN_059",100
"X.MISA2015..11","MISA2015","CDBN_310",97
