"","env","Seq_ID","SW"
"X.CADV2015.","CADV2015","CDBN_054",329
"X.CADV2015..1","CADV2015","CDBN_351",186
"X.CADV2015..2","CADV2015","CDBN_171",544
"X.CADV2015..3","CADV2015","CDBN_345",363
"X.CADV2015..4","CADV2015","CDBN_332",385
"X.CADV2015..5","CADV2015","CDBN_339",545
"X.CADV2015..6","CADV2015","CDBN_067",342
"X.CADV2015..7","CADV2015","CDBN_062",207
"X.CADV2015..8","CADV2015","CDBN_068",286
"X.CADV2015..9","CADV2015","CDBN_172",627
"X.CADV2015..10","CADV2015","CDBN_063",542
"X.CADV2015..11","CADV2015","CDBN_095",310
"X.CADV2015..12","CADV2015","CDBN_342",350
"X.CADV2015..13","CADV2015","CDBN_069",361
"X.CADV2015..14","CADV2015","CDBN_161",494
"X.CADV2015..15","CADV2015","CDBN_059",323
"X.CADV2015..16","CADV2015","CDBN_071",566
"X.CADV2015..17","CADV2015","CDBN_310",205
"X.CADV2015..18","CADV2015","CDBN_060",495
"X.CADV2015..19","CADV2015","CDBN_061",523
"X.CADV2015..20","CADV2015","CDBN_349",207
"X.IDKI2015.","IDKI2015","CDBN_054",392
"X.IDKI2015..1","IDKI2015","CDBN_351",181
"X.IDKI2015..2","IDKI2015","CDBN_171",453
"X.IDKI2015..3","IDKI2015","CDBN_345",323
"X.IDKI2015..4","IDKI2015","CDBN_332",376
"X.IDKI2015..5","IDKI2015","CDBN_339",523
"X.IDKI2015..6","IDKI2015","CDBN_067",383
"X.IDKI2015..7","IDKI2015","CDBN_062",220
"X.IDKI2015..8","IDKI2015","CDBN_068",285
"X.IDKI2015..9","IDKI2015","CDBN_172",576
"X.IDKI2015..10","IDKI2015","CDBN_063",493
"X.IDKI2015..11","IDKI2015","CDBN_095",365
"X.IDKI2015..12","IDKI2015","CDBN_342",334
"X.IDKI2015..13","IDKI2015","CDBN_069",327
"X.IDKI2015..14","IDKI2015","CDBN_161",415
"X.IDKI2015..15","IDKI2015","CDBN_059",324
"X.IDKI2015..16","IDKI2015","CDBN_071",504
"X.IDKI2015..17","IDKI2015","CDBN_310",194
"X.IDKI2015..18","IDKI2015","CDBN_060",457
"X.IDKI2015..19","IDKI2015","CDBN_061",456
"X.IDKI2015..20","IDKI2015","CDBN_349",196
"X.MIEN2015.","MIEN2015","CDBN_171",709
"X.MIEN2015..2","MIEN2015","CDBN_172",211
"X.MIEN2015..3","MIEN2015","CDBN_063",447
"X.MIEN2015..4","MIEN2015","CDBN_161",615
"X.MIEN2015..5","MIEN2015","CDBN_071",702
"X.MIEN2015..6","MIEN2015","CDBN_060",628
"X.MIEN2015..7","MIEN2015","CDBN_061",648
"X.MISA2015.","MISA2015","CDBN_054",388
"X.MISA2015..1","MISA2015","CDBN_351",191
"X.MISA2015..2","MISA2015","CDBN_345",386
"X.MISA2015..3","MISA2015","CDBN_332",431
"X.MISA2015..4","MISA2015","CDBN_067",440
"X.MISA2015..5","MISA2015","CDBN_062",212
"X.MISA2015..6","MISA2015","CDBN_068",353
"X.MISA2015..7","MISA2015","CDBN_095",399
"X.MISA2015..8","MISA2015","CDBN_342",352
"X.MISA2015..9","MISA2015","CDBN_069",318
"X.MISA2015..10","MISA2015","CDBN_059",327
"X.MISA2015..11","MISA2015","CDBN_310",196
"X.MISA2015..12","MISA2015","CDBN_349",224
"X.MNPR2015.","MNPR2015","CDBN_171",542
"X.MNPR2015..2","MNPR2015","CDBN_172",557
"X.MNPR2015..3","MNPR2015","CDBN_063",514
"X.MNPR2015..4","MNPR2015","CDBN_161",465
"X.MNPR2015..5","MNPR2015","CDBN_071",558
"X.MNPR2015..6","MNPR2015","CDBN_060",460
"X.MNPR2015..7","MNPR2015","CDBN_061",502
"X.MTSI2015.","MTSI2015","CDBN_054",392
"X.MTSI2015..1","MTSI2015","CDBN_351",361
"X.MTSI2015..3","MTSI2015","CDBN_345",365
"X.MTSI2015..4","MTSI2015","CDBN_332",381
"X.MTSI2015..5","MTSI2015","CDBN_339",386
"X.MTSI2015..6","MTSI2015","CDBN_067",337
"X.MTSI2015..7","MTSI2015","CDBN_062",219
"X.MTSI2015..8","MTSI2015","CDBN_068",229
"X.MTSI2015..9","MTSI2015","CDBN_172",469
"X.MTSI2015..10","MTSI2015","CDBN_063",467
"X.MTSI2015..11","MTSI2015","CDBN_095",398
"X.MTSI2015..12","MTSI2015","CDBN_342",351
"X.MTSI2015..13","MTSI2015","CDBN_069",368
"X.MTSI2015..14","MTSI2015","CDBN_161",440
"X.MTSI2015..15","MTSI2015","CDBN_059",347
"X.MTSI2015..16","MTSI2015","CDBN_071",512
"X.MTSI2015..17","MTSI2015","CDBN_310",186
"X.MTSI2015..18","MTSI2015","CDBN_060",463
"X.MTSI2015..19","MTSI2015","CDBN_061",480
"X.MTSI2015..20","MTSI2015","CDBN_349",209
"X.NDHA2015.","NDHA2015","CDBN_054",382
"X.NDHA2015..1","NDHA2015","CDBN_351",181
"X.NDHA2015..2","NDHA2015","CDBN_345",346
"X.NDHA2015..3","NDHA2015","CDBN_332",366
"X.NDHA2015..4","NDHA2015","CDBN_067",388
"X.NDHA2015..5","NDHA2015","CDBN_062",190
"X.NDHA2015..6","NDHA2015","CDBN_068",232
"X.NDHA2015..7","NDHA2015","CDBN_095",371
"X.NDHA2015..8","NDHA2015","CDBN_342",329
"X.NDHA2015..9","NDHA2015","CDBN_069",316
"X.NDHA2015..10","NDHA2015","CDBN_059",358
"X.NDHA2015..11","NDHA2015","CDBN_310",179
"X.NDHA2015..12","NDHA2015","CDBN_349",183
"X.NESB2015.","NESB2015","CDBN_054",270
"X.NESB2015..1","NESB2015","CDBN_351",138
"X.NESB2015..2","NESB2015","CDBN_171",385
"X.NESB2015..3","NESB2015","CDBN_345",293
"X.NESB2015..4","NESB2015","CDBN_332",304
"X.NESB2015..5","NESB2015","CDBN_339",402
"X.NESB2015..6","NESB2015","CDBN_067",322
"X.NESB2015..7","NESB2015","CDBN_062",192
"X.NESB2015..8","NESB2015","CDBN_068",211
"X.NESB2015..9","NESB2015","CDBN_172",414
"X.NESB2015..10","NESB2015","CDBN_063",404
"X.NESB2015..11","NESB2015","CDBN_095",267
"X.NESB2015..12","NESB2015","CDBN_342",258
"X.NESB2015..13","NESB2015","CDBN_069",230
"X.NESB2015..14","NESB2015","CDBN_161",384
"X.NESB2015..15","NESB2015","CDBN_059",287
"X.NESB2015..16","NESB2015","CDBN_071",411
"X.NESB2015..17","NESB2015","CDBN_310",148
"X.NESB2015..18","NESB2015","CDBN_060",360
"X.NESB2015..19","NESB2015","CDBN_061",361
"X.NESB2015..20","NESB2015","CDBN_349",144
"X.ONEL2015.","ONEL2015","CDBN_054",428
"X.ONEL2015..1","ONEL2015","CDBN_351",192
"X.ONEL2015..2","ONEL2015","CDBN_171",521
"X.ONEL2015..3","ONEL2015","CDBN_345",394
"X.ONEL2015..4","ONEL2015","CDBN_332",375
"X.ONEL2015..6","ONEL2015","CDBN_067",437
"X.ONEL2015..7","ONEL2015","CDBN_062",212
"X.ONEL2015..8","ONEL2015","CDBN_068",292
"X.ONEL2015..9","ONEL2015","CDBN_172",704
"X.ONEL2015..10","ONEL2015","CDBN_063",595
"X.ONEL2015..11","ONEL2015","CDBN_095",394
"X.ONEL2015..12","ONEL2015","CDBN_342",347
