"","env","Seq_ID","SY"
"X.CADV2015.","CADV2015","CDBN_054",1774.08
"X.CADV2015..1","CADV2015","CDBN_351",1908.48
"X.CADV2015..2","CADV2015","CDBN_171",871.36
"X.CADV2015..3","CADV2015","CDBN_345",1779.68
"X.CADV2015..4","CADV2015","CDBN_332",2347.52
"X.CADV2015..5","CADV2015","CDBN_339",1983.52
"X.CADV2015..6","CADV2015","CDBN_067",1432.48
"X.CADV2015..7","CADV2015","CDBN_062",1463.84
"X.CADV2015..8","CADV2015","CDBN_068",2610.72
"X.CADV2015..9","CADV2015","CDBN_172",921.76
"X.CADV2015..10","CADV2015","CDBN_063",1680
"X.CADV2015..11","CADV2015","CDBN_095",1696.8
"X.CADV2015..12","CADV2015","CDBN_342",2850.4
"X.CADV2015..13","CADV2015","CDBN_069",1646.4
"X.CADV2015..14","CADV2015","CDBN_161",1121.12
"X.CADV2015..15","CADV2015","CDBN_059",1678.88
"X.CADV2015..16","CADV2015","CDBN_071",1192.8
"X.CADV2015..17","CADV2015","CDBN_310",990.08
"X.CADV2015..18","CADV2015","CDBN_060",661.92
"X.CADV2015..19","CADV2015","CDBN_061",973.28
"X.CADV2015..20","CADV2015","CDBN_349",2038.4
"X.COFC2015.","COFC2015","CDBN_054",1498.56
"X.COFC2015..1","COFC2015","CDBN_351",2972.48
"X.COFC2015..2","COFC2015","CDBN_171",1929.76
"X.COFC2015..3","COFC2015","CDBN_345",3525.76
"X.COFC2015..4","COFC2015","CDBN_332",3645.6
"X.COFC2015..5","COFC2015","CDBN_339",3043.04
"X.COFC2015..6","COFC2015","CDBN_067",1797.6
"X.COFC2015..7","COFC2015","CDBN_062",2598.4
"X.COFC2015..8","COFC2015","CDBN_068",3564.96
"X.COFC2015..9","COFC2015","CDBN_172",2780.96
"X.COFC2015..10","COFC2015","CDBN_063",3442.88
"X.COFC2015..11","COFC2015","CDBN_095",1643.04
"X.COFC2015..12","COFC2015","CDBN_342",4159.68
"X.COFC2015..13","COFC2015","CDBN_069",4131.68
"X.COFC2015..14","COFC2015","CDBN_161",2724.96
"X.COFC2015..15","COFC2015","CDBN_059",2337.44
"X.COFC2015..16","COFC2015","CDBN_071",1956.64
"X.COFC2015..17","COFC2015","CDBN_310",3692.64
"X.COFC2015..18","COFC2015","CDBN_060",2107.84
"X.COFC2015..19","COFC2015","CDBN_061",2731.68
"X.COFC2015..20","COFC2015","CDBN_349",3080
"X.IDKI2015.","IDKI2015","CDBN_054",3581.76
"X.IDKI2015..1","IDKI2015","CDBN_351",2780.96
"X.IDKI2015..2","IDKI2015","CDBN_171",1177.12
"X.IDKI2015..3","IDKI2015","CDBN_345",2797.76
"X.IDKI2015..4","IDKI2015","CDBN_332",2934.4
"X.IDKI2015..5","IDKI2015","CDBN_339",2080.96
"X.IDKI2015..6","IDKI2015","CDBN_067",2712.64
"X.IDKI2015..7","IDKI2015","CDBN_062",2984.8
"X.IDKI2015..8","IDKI2015","CDBN_068",3104.64
"X.IDKI2015..9","IDKI2015","CDBN_172",1432.48
"X.IDKI2015..10","IDKI2015","CDBN_063",2269.12
"X.IDKI2015..11","IDKI2015","CDBN_095",2609.6
"X.IDKI2015..12","IDKI2015","CDBN_342",3564.96
"X.IDKI2015..13","IDKI2015","CDBN_069",2644.32
"X.IDKI2015..14","IDKI2015","CDBN_161",1075.2
"X.IDKI2015..15","IDKI2015","CDBN_059",2507.68
"X.IDKI2015..16","IDKI2015","CDBN_071",1057.28
"X.IDKI2015..17","IDKI2015","CDBN_310",1944.32
"X.IDKI2015..18","IDKI2015","CDBN_060",1142.4
