"","env","Seq_ID","SY","SW","DM"
"CDBN_294","ABBI1984","CDBN_294",3156.16,371.797466750524,113
"CDBN_145","ABBI1984","CDBN_145",2094.4,163.87027074987,121
"CDBN_105","ABBI1984","CDBN_105",2643.2,377.679358397702,119
"CDBN_177","ABBI1984","CDBN_177",2664.48,389.684630099347,102
"CDBN_146","ABBI1984","CDBN_146",2409.12,179.854444661237,113
"CDBN_108","ABBI1984","CDBN_108",1645.28,318.758193559831,93
"CDBN_323","ABBI1984","CDBN_323",2541.28,361.716833680733,124
"CDBN_169","ABBI1984","CDBN_169",2857.12,199.820664949621,111
"CDBN_109","ABBI1984","CDBN_109",1951.04,207.784200382794,103
"CDBN_111","ABBI1984","CDBN_111",1856.96,205.804405370072,100
"CDBN_231","ABBI1984","CDBN_231",2657.76,356.598199241855,113
"CDBN_276","ABBI1984","CDBN_276",2904.16,338.754973439611,117
"CDBN_194","ABBI1984","CDBN_194",2401.28,169.884984807356,112
"CDBN_113","ABBI1984","CDBN_113",2251.2,182.900366707919,123
"CDBN_095","ABBI1984","CDBN_095",2750.72,373.635016009588,102
"CDBN_132","ABBI1984","CDBN_132",2113.44,278.790970765605,115
"CDBN_311","ABBI1984","CDBN_311",2985.92,378.625133084841,106
"CDBN_221","ABBI1984","CDBN_221",2998.24,361.716833680733,109
"CDBN_137","ABBI1984","CDBN_137",2904.16,347.5807735139,113
"CDBN_150","ABBI1984","CDBN_150",3026.24,407.540799133549,112
"CDBN_050","ABBI1987","CDBN_050",2764.16,166.517220791351,122
"CDBN_1461","ABBI1987","CDBN_146",2355.36,174.4588113214,131
"CDBN_3231","ABBI1987","CDBN_323",2458.4,329.40661542167,135
"CDBN_280","ABBI1987","CDBN_280",1799.84,535.528818696151,106
"CDBN_281","ABBI1987","CDBN_281",1751.68,528.663064610303,124
"CDBN_284","ABBI1987","CDBN_284",1649.76,562.072998061511,128
"CDBN_112","ABBI1987","CDBN_112",1644.16,529.898258686495,114
"CDBN_285","ABBI1987","CDBN_285",763.84,540.635172152133,112
"CDBN_133","ABBI1987","CDBN_133",3125.92,359.994372567968,125
"CDBN_090","ABBI1987","CDBN_090",772.8,533.011644460211,114
"CDBN_153","ABBI1987","CDBN_153",822.08,544.529303043985,115
"CDBN_3111","ABBI1987","CDBN_311",3484.32,347.5807735139,143
"CDBN_220","ABBI1987","CDBN_220",3072.16,358.00545338251,137
"CDBN_314","ABBI1987","CDBN_314",2944.48,323.302145000456,130
"CDBN_274","ABBI1987","CDBN_274",3243.52,342.851783398065,126
"CDBN_136","ABBI1989","CDBN_136",2181.76,187.823150905027,107
"CDBN_0501","ABBI1989","CDBN_050",1892.8,151.500637754055,143
"CDBN_025","ABBI1989","CDBN_025",3160.64,382.778826527966,127
"CDBN_1462","ABBI1989","CDBN_146",1537.76,170.523650163774,153
"CDBN_3232","ABBI1989","CDBN_323",1750.56,319.882164623159,103
"CDBN_188","ABBI1989","CDBN_188",1625.12,533.011644460211,103
"CDBN_2801","ABBI1989","CDBN_280",1813.28,519.579506799129,97
"CDBN_180","ABBI1989","CDBN_180",1611.68,156.249710449755,153
"CDBN_238","ABBI1989","CDBN_238",1454.88,154.86272087253,99
"CDBN_2851","ABBI1989","CDBN_285",1275.68,473.479028638455,99
"CDBN_324","ABBI1989","CDBN_324",2773.12,344.152435080152,118
"CDBN_306","ABBI1989","CDBN_306",2578.24,358.571469909597,131
"CDBN_0901","ABBI1989","CDBN_090",2031.68,505.114598480668,103
"CDBN_308","ABBI1989","CDBN_308",2338.56,310.893015377409,133
"CDBN_309","ABBI1989","CDBN_309",2509.92,412.357190396036,96
"CDBN_3112","ABBI1989","CDBN_311",2306.08,375.490819069238,127
"CDBN_313","ABBI1989","CDBN_313",3228.96,354.646528096669,153
"CDBN_3141","ABBI1989","CDBN_314",2411.36,333.279139923321,139
"CDBN_315","ABBI1989","CDBN_315",2355.36,169.694317035406,99
"CDBN_049","ABBI1989","CDBN_049",2552.48,358.855149869968,119
"CDBN_2741","ABBI1989","CDBN_274",3102.4,283.672863937236,153
"CDBN_319","ABBI1989","CDBN_319",3380.16,347.048897808447,134
"CDBN_003","ABBI1991","CDBN_003",3020.64,281.909825628117,99
"CDBN_005","ABBI1991","CDBN_005",3168.48,323.302145000456,103
"CDBN_2941","ABBI1991","CDBN_294",3613.12,385.380551771996,102
"CDBN_0502","ABBI1991","CDBN_050",2692.48,161.077027498452,99
"CDBN_297","ABBI1991","CDBN_297",3577.28,310.680074955918,94
"CDBN_246","ABBI1991","CDBN_246",2672.32,186.127578758982,106
"CDBN_171","ABBI1991","CDBN_171",2956.8,544.529303043985,95
"CDBN_182","ABBI1991","CDBN_182",3314.08,312.82269616251,101
"CDBN_286","ABBI1991","CDBN_286",2828,523.779341149699,106
"CDBN_287","ABBI1991","CDBN_287",2828,197.128600363164,101
"CDBN_288","ABBI1991","CDBN_288",3021.76,187.978826952192,100
"CDBN_1463","ABBI1991","CDBN_146",3028.48,183.640854022526,99
"CDBN_097","ABBI1991","CDBN_097",2577.12,187.667732493024,102
"CDBN_322","ABBI1991","CDBN_322",3289.44,177.879572327702,103
"CDBN_289","ABBI1991","CDBN_289",2973.6,183.49227727979,107
"CDBN_045","ABBI1991","CDBN_045",2502.08,185.139963034955,97
"CDBN_047","ABBI1991","CDBN_047",2526.72,188.13476127567,92
"CDBN_072","ABBI1991","CDBN_072",2908.64,177.046412738345,100
"CDBN_074","ABBI1991","CDBN_074",2915.36,192.52670179781,101
"CDBN_2381","ABBI1991","CDBN_238",2897.44,181.2921300702,107
"CDBN_2852","ABBI1991","CDBN_285",3063.2,510.228244584522,100
"CDBN_3241","ABBI1991","CDBN_324",3452.96,291.324925777546,100
"CDBN_3061","ABBI1991","CDBN_306",3071.04,343.891515872358,99
"CDBN_080","ABBI1991","CDBN_080",3190.88,177.115544488731,107
"CDBN_0902","ABBI1991","CDBN_090",3076.64,503.992121595155,97
"CDBN_134","ABBI1991","CDBN_134",3169.6,176.495295500249,100
"CDBN_081","ABBI1991","CDBN_081",2117.92,209.996717331315,100
"CDBN_3091","ABBI1991","CDBN_309",3746.4,354.09282547669,103
"CDBN_3113","ABBI1991","CDBN_311",2984.8,345.726302923506,98
"CDBN_3131","ABBI1991","CDBN_313",3226.72,308.986995528365,94
"CDBN_3142","ABBI1991","CDBN_314",3110.24,338.249746037017,105
"CDBN_3151","ABBI1991","CDBN_315",3391.36,171.815495998348,102
"CDBN_2742","ABBI1991","CDBN_274",3612,290.392387602842,95
"CDBN_186","ABBI1994","CDBN_186",4572.96,421.163332809322,101
"CDBN_006","ABBI1994","CDBN_006",4117.12,363.164859436061,95
"CDBN_187","ABBI1994","CDBN_187",4548.32,369.375333416645,97
"CDBN_008","ABBI1994","CDBN_008",3745.28,356.038390451837,106
"CDBN_007","ABBI1994","CDBN_007",2113.44,416.522414541451,111
"CDBN_147","ABBI1994","CDBN_147",3095.68,176.015874829507,101
"CDBN_155","ABBI1994","CDBN_155",4247.04,331.81631999681,106
"CDBN_296","ABBI1994","CDBN_296",4132.8,404.271755290232,96
"CDBN_1711","ABBI1994","CDBN_171",1635.2,594.486119837012,101
"CDBN_023","ABBI1994","CDBN_023",2607.36,197.300091098582,108
"CDBN_170","ABBI1994","CDBN_170",1765.12,643.394197781049,102
"CDBN_300","ABBI1994","CDBN_300",4062.24,380.850469719261,103
"CDBN_2881","ABBI1994","CDBN_288",2472.96,221.480912810371,107
"CDBN_124","ABBI1994","CDBN_124",4260.48,196.360566855255,103
"CDBN_1464","ABBI1994","CDBN_146",3958.08,180.426773840748,103
"CDBN_0971","ABBI1994","CDBN_097",1622.88,186.051234387055,111
"CDBN_041","ABBI1994","CDBN_041",1991.36,605.598009927423,101
"CDBN_073","ABBI1994","CDBN_073",3280.48,193.264980586127,103
"CDBN_075","ABBI1994","CDBN_075",2987.04,208.356871582747,97
"CDBN_2382","ABBI1994","CDBN_238",2924.32,187.512571077156,110
"CDBN_3242","ABBI1994","CDBN_324",3823.68,328.214840402055,95
"CDBN_175","ABBI1994","CDBN_175",2574.88,216.305631585904,100
"CDBN_3062","ABBI1994","CDBN_306",3505.6,348.381650872227,98
"CDBN_0951","ABBI1994","CDBN_095",4004,420.772643261261,93
"CDBN_312","ABBI1994","CDBN_312",3683.68,310.255068013433,94
"CDBN_3143","ABBI1994","CDBN_314",3851.68,352.442043073535,112
"CDBN_316","ABBI1994","CDBN_316",3388,209.415008973056,102
"CDBN_273","ABBI1994","CDBN_273",3506.72,189.787828215749,109
"CDBN_2743","ABBI1994","CDBN_274",4683.84,298.612843604766,94
"CDBN_1551","ABBI1995","CDBN_155",3758.72,322.841928423943,111
"CDBN_2961","ABBI1995","CDBN_296",3037.44,364.624525269807,107
"CDBN_275","ABBI1995","CDBN_275",3694.88,365.21168231533,108
"CDBN_1712","ABBI1995","CDBN_171",2537.92,240.37780044284,110
"CDBN_1701","ABBI1995","CDBN_170",1136.8,598.407532236992,115
"CDBN_3001","ABBI1995","CDBN_300",3851.68,292.640586732671,115
"CDBN_2882","ABBI1995","CDBN_288",2597.28,187.667732493024,108
"CDBN_1465","ABBI1995","CDBN_146",1869.28,174.997264442762,112
"CDBN_0972","ABBI1995","CDBN_097",740.32,157.115659659037,115
"CDBN_265","ABBI1995","CDBN_265",3235.68,398.938354824661,105
"CDBN_030","ABBI1995","CDBN_030",921.76,161.535936408704,115
