Location_code,Year,Taxa,CDBN_ID,Seq_ID,Race,SY,GH,SW,DM,DF,SF,LG,HI,PH,BM
CADV,2015,CDBN_054_23ST_27,23ST_27,CDBN_054,Durango,1774.0800000000002,NA,329,NA,44,NA,NA,NA,NA,NA
CADV,2015,CDBN_351_Alpena,Alpena,CDBN_351,Mesoamerican,1908.4800000000002,NA,186,NA,49,NA,NA,NA,NA,NA
CADV,2015,CDBN_171_CELRK,CELRK,CDBN_171,Nueva Granada,871.3600000000001,NA,544,NA,38,NA,NA,NA,NA,NA
CADV,2015,CDBN_345_COSD_35,COSD_35,CDBN_345,Durango,1779.68,NA,363,NA,44,NA,NA,NA,NA,NA
CADV,2015,CDBN_332_COSD_7,COSD_7,CDBN_332,Durango,2347.5200000000004,NA,385,NA,43,NA,NA,NA,NA,NA
CADV,2015,CDBN_339_Dynasty,Dynasty,CDBN_339,Nueva Granada,1983.5200000000002,NA,545,NA,41,NA,NA,NA,NA,NA
CADV,2015,CDBN_067_ElDorado,ElDorado,CDBN_067,Durango,1432.4800000000002,NA,342,NA,47,NA,NA,NA,NA,NA
CADV,2015,CDBN_062_Fathom,Fathom,CDBN_062,Mesoamerican,1463.8400000000001,NA,207,NA,43,NA,NA,NA,NA,NA
CADV,2015,CDBN_068_Gypsy_Rose,Gypsy_Rose,CDBN_068,Durango,2610.7200000000003,NA,286,NA,49,NA,NA,NA,NA,NA
CADV,2015,CDBN_172_Majesty,Majesty,CDBN_172,Nueva Granada,921.7600000000001,NA,627,NA,42,NA,NA,NA,NA,NA
CADV,2015,CDBN_063_OAC_Inferno,OAC_Inferno,CDBN_063,Nueva Granada,1680.0000000000002,NA,542,NA,44,NA,NA,NA,NA,NA
CADV,2015,CDBN_095_Othello,Othello,CDBN_095,Durango,1696.8000000000002,NA,310,NA,39,NA,NA,NA,NA,NA
CADV,2015,CDBN_342_PT9_5_6,PT9_5_6,CDBN_342,Durango,2850.4,NA,350,NA,42,NA,NA,NA,NA,NA
CADV,2015,CDBN_069_Powderhorn,Powderhorn,CDBN_069,Durango,1646.4,NA,361,NA,41,NA,NA,NA,NA,NA
CADV,2015,CDBN_161_Rosie,Rosie,CDBN_161,Nueva Granada,1121.1200000000001,NA,494,NA,45,NA,NA,NA,NA,NA
CADV,2015,CDBN_059_SF103_8,SF103_8,CDBN_059,Durango,1678.88,NA,323,NA,42,NA,NA,NA,NA,NA
CADV,2015,CDBN_071_Snowdon,Snowdon,CDBN_071,Nueva Granada,1192.8000000000002,NA,566,NA,38,NA,NA,NA,NA,NA
CADV,2015,CDBN_310_T_39,T_39,CDBN_310,Mesoamerican,990.08,NA,205,NA,48,NA,NA,NA,NA,NA
CADV,2015,CDBN_060_Talon,Talon,CDBN_060,Nueva Granada,661.9200000000001,NA,495,NA,46,NA,NA,NA,NA,NA
CADV,2015,CDBN_061_Yeti,Yeti,CDBN_061,Nueva Granada,973.2800000000001,NA,523,NA,40,NA,NA,NA,NA,NA
CADV,2015,CDBN_349_Zenith,Zenith,CDBN_349,Mesoamerican,2038.4,NA,207,NA,49,NA,NA,NA,NA,NA
COFC,2015,CDBN_054_23ST_27,23ST_27,CDBN_054,Durango,1498.5600000000002,NA,NA,84,46,38,NA,NA,NA,NA
COFC,2015,CDBN_351_Alpena,Alpena,CDBN_351,Mesoamerican,2972.4800000000005,NA,NA,85,49,36,NA,NA,NA,NA
COFC,2015,CDBN_171_CELRK,CELRK,CDBN_171,Nueva Granada,1929.7600000000002,NA,NA,80,40,40,NA,NA,NA,NA
COFC,2015,CDBN_345_COSD_35,COSD_35,CDBN_345,Durango,3525.76,NA,NA,84,43,41,NA,NA,NA,NA
COFC,2015,CDBN_332_COSD_7,COSD_7,CDBN_332,Durango,3645.6000000000004,NA,NA,82,44,38,NA,NA,NA,NA
COFC,2015,CDBN_339_Dynasty,Dynasty,CDBN_339,Nueva Granada,3043.0400000000004,NA,NA,81,44,37,NA,NA,NA,NA
COFC,2015,CDBN_067_ElDorado,ElDorado,CDBN_067,Durango,1797.6000000000001,NA,NA,89,47,42,NA,NA,NA,NA
COFC,2015,CDBN_062_Fathom,Fathom,CDBN_062,Mesoamerican,2598.4,NA,NA,85,46,39,NA,NA,NA,NA
COFC,2015,CDBN_068_Gypsy_Rose,Gypsy_Rose,CDBN_068,Durango,3564.9600000000005,NA,NA,88,47,41,NA,NA,NA,NA
COFC,2015,CDBN_172_Majesty,Majesty,CDBN_172,Nueva Granada,2780.9600000000005,NA,NA,85,45,40,NA,NA,NA,NA
COFC,2015,CDBN_063_OAC_Inferno,OAC_Inferno,CDBN_063,Nueva Granada,3442.88,NA,NA,89,43,46,NA,NA,NA,NA
COFC,2015,CDBN_095_Othello,Othello,CDBN_095,Durango,1643.0400000000002,NA,NA,74,40,34,NA,NA,NA,NA
COFC,2015,CDBN_342_PT9_5_6,PT9_5_6,CDBN_342,Durango,4159.68,NA,NA,87,47,40,NA,NA,NA,NA
COFC,2015,CDBN_069_Powderhorn,Powderhorn,CDBN_069,Durango,4131.68,NA,NA,83,46,37,NA,NA,NA,NA
COFC,2015,CDBN_161_Rosie,Rosie,CDBN_161,Nueva Granada,2724.96,NA,NA,84,44,40,NA,NA,NA,NA
COFC,2015,CDBN_059_SF103_8,SF103_8,CDBN_059,Durango,2337.44,NA,NA,83,43,40,NA,NA,NA,NA
